,evN,hits_n,hits_row_1,hits_row_2,hits_col_1,hits_col_2,tracks,tracks_x_1,tracks_x_2,tracks_y_1,tracks_y_2,tracks_sx_1,tracks_sx_2,tracks_sy_1,tracks_sy_2,side,std_distance,run_id_x,run_id_y,score
count,8720483,8720483.0,8441748.0,8654078.0,8441748.0,8654078.0,8720483.0,8143333.0,8385469.0,8143333.0,8385469.0,8143333.0,8385469.0,8143333.0,8385469.0,8720483,0.0,8720483,8720483.0,105033.0
unique,5727356,,,,,,,,,,,,,,,2,,1,,
top,226710726,,,,,,,,,,,,,,,a,,427929,,
freq,4,,,,,,,,,,,,,,,5116130,,8720483,,
mean,,22.965536541955302,113.67788712951103,126.00006376603199,38.03133897163791,38.71764412495733,2.521026644969092,-8.382255057091513,-8.365447161639414,0.7937842832669059,0.8796746476384071,-0.0004082474906917888,-0.00015478120581957787,3.3761995451848585e-06,5.770447261614839e-05,,,,427929.0,0.33997877044490227
std,,18.080308906644323,69.85762872351225,70.8045635164627,15.670772721798755,15.954127358602678,1.2918587189898314,3.447137052008675,3.5324958928688894,10.194908116627474,10.39434931387304,0.004040821766541852,0.004414221603719237,0.00448468033037925,0.005650105020703644,,,,0.0,0.08315612365727525
min,,1.0,1.0,1.0,1.0,1.0,0.0,-20.714994430541992,-19.810688018798828,-20.9891414642334,-21.720550537109375,-0.19626416265964508,-0.12730863690376282,-0.1569536328315735,-0.2254505604505539,,,,427929.0,0.1946058260910025
25%,,13.0,54.2,66.6,26.0,26.857142857142858,2.0,-11.019081115722656,-11.03082275390625,-7.448444843292236,-7.703813076019287,-0.0005538660916499794,-0.00035338924499228597,-0.0014591579092666507,-0.0027502826415002346,,,,427929.0,0.2714598843089165
50%,,15.0,110.0,122.8,35.285714285714285,36.42857142857143,2.0,-8.087448120117188,-8.079408645629883,-4.493276119232178,-4.428703308105469,-0.00010420969920232892,-2.2845712010166608e-05,0.0007632561028003693,-5.6552544265287e-05,,,,427929.0,0.3221856745908903
75%,,26.0,167.5,179.58333333333334,50.411764705882355,50.76470588235294,3.0,-5.412262916564941,-5.380404472351074,12.121371269226074,12.196459770202637,0.00025453331181779504,0.00031193270115181804,0.0013354113325476646,0.0034685812424868345,,,,427929.0,0.4010018765721708
max,,100.0,336.0,336.0,80.0,80.0,15.0,-1.6712729930877686,-0.998455822467804,21.3098201751709,21.002193450927734,0.15565046668052673,0.15524061024188995,0.13108015060424805,0.1613370180130005,,,,427929.0,0.6673090204630355
